city,name,address,rating,rating_count,new_column_1,new_column_2,new_column_3,new_column_4,new_column_5,new_column_6,new_column_7
"Central Jakarta city, Indonesia",WARKOP BERKAH,"Jl. Cempaka Raya No.6, RT.6/RW.4",4.3,4.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",WarKop Raihan,"West Jakarta City, Jakarta, Indonesia",4.9,21.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Jabrik,"Jl. Kawi Kawi Bawah L No.36 12, RT.12/RW.8",3.7,7.0,1,1,1,1,0,1,1
"Central Jakarta city, Indonesia",Warkop Ding-Dong,"Jalan Kebon Kelapa No.9, RT.2/RW.10",5.0,6.0,1,1,1,1,1,0,1
"Central Jakarta city, Indonesia",Warkop Raffael,"Jl. F No.12, RT.12/RW.4",4.8,9.0,1,1,1,1,1,1,0
"Central Jakarta city, Indonesia",Warkop Liris,"West Jakarta City, Jakarta, Indonesia",4.8,22.0,1,1,0,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Lapau Jati Lima,"South Jakarta City, Jakarta, Indonesia",5.0,3.0,1,1,1,1,1,1,0
"Central Jakarta city, Indonesia",Warkop Naik Kelas,"West Jakarta City, Jakarta, Indonesia",4.6,46.0,0,1,1,1,0,1,1
"Central Jakarta city, Indonesia",Warkop Bahtera - Kapal Juanda,"Jl. Ir. H. Juanda No.14, RT.14/RW.4",,,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop & Warnas Mpok Aska,Indonesia,5.0,2.0,1,1,1,1,1,1,1
